State_Full,State_abv,Population,Rent_one_bed,Median_Income,Unemployment_Rate_Percent,Average_Age,Pop_Density_per_sqmi
Alabama,AL,5157699,788,65560,3.10,39.3,101.84
Alaska,AK,740133,1153,91260,4.60,35.8,1.29
Arizona,AZ,7582384,1064,84700,3.60,39,66.75
Arkansas,AR,3088354,696,64840,3.50,38.5,59.35
California,CA,39431263,1488,100600,5.30,37.9,253.12
Colorado,CO,5957493,1164,106500,4.30,37.7,57.48
Connecticut,CT,3675069,1358,99240,3.20,41.1,759.0
Delaware,DE,1051917,1185,85860,3.70,41.6,539.72
Florida,FL,23372215,1131,75630,3.40,42.6,435.85
Georgia,GA,11180878,933,81210,3.50,37.6,194.41
Hawaii,HI,1446146,1614,98240,3.00,40.9,225.15
Idaho,ID,2001619,832,81650,3.70,37.3,24.22
Illinois,IL,12710158,768,84210,5.00,39,228.93
Indiana,IN,6924275,803,76710,4.20,38.1,193.28
Iowa,IA,3241488,719,85480,3.00,38.6,58.03
Kansas,KS,2970606,733,87690,3.60,37.4,36.33
Kentucky,KY,4588372,756,64790,5.10,39.1,116.2
Louisiana,LA,4597740,831,60740,4.40,38,106.42
Maine,ME,1405012,895,90730,3.10,44.8,45.55
Maryland,MD,6263220,1355,109700,3.00,39.4,645.23
Massachusetts,MA,7136171,1636,113900,4.00,40,914.89
Michigan,MI,10140459,811,79460,4.70,40.2,179.35
Minnesota,MN,5793151,844,92350,3.00,38.8,72.75
Mississippi,MS,2943045,794,55980,3.20,38.6,62.72
Missouri,MO,6245466,700,78390,3.70,39,90.85
Montana,MT,1137233,765,81920,3.00,40.4,7.81
Nebraska,NE,2005465,709,86140,2.80,37.2,26.1
Nevada,NV,3267467,1037,80590,5.60,39.1,29.76
New Hampshire,NH,1409032,1122,111800,2.60,43.3,157.38
New Jersey,NJ,9500851,1551,103500,4.50,40.1,1291.93
New Mexico,NM,2130256,811,64140,4.10,39.4,17.56
New York,NY,19867248,1160,86830,4.30,39.8,421.58
North Carolina,NC,11046024,901,67220,3.60,39.1,227.2
North Dakota,ND,796568,743,88080,2.40,35.9,11.54
Ohio,OH,11883304,763,80520,4.30,39.7,290.82
Oklahoma,OK,4095393,738,65310,3.30,37,59.7
Oregon,OR,4272371,1049,89700,4.20,40.4,44.51
Pennsylvania,PA,13078751,877,80060,3.60,40.9,292.31
Rhode Island,RI,1112308,1419,92290,4.30,40.6,1075.73
South Carolina,SC,5478831,912,76780,4.10,40.2,182.26
South Dakota,SD,924669,756,79850,1.80,38,12.2
Tennessee,TN,7227750,852,75860,3.40,38.9,175.28
Texas,TX,31290831,891,81490,4.10,35.6,119.78
Utah,UT,3503613,922,104000,3.20,32,42.64
Vermont,VT,648493,1080,85260,2.30,43.1,70.36
Virginia,VA,8811195,1072,97720,2.90,39,223.12
Washington,WA,7958180,1142,97500,4.50,38.3,119.75
West Virginia,WV,1769979,738,63150,4.10,42.7,73.63
Wisconsin,WI,5960975,792,82560,3.00,40.2,110.07
Wyoming,WY,587618,818,78680,3.20,39.1,6.05
District of Columbia,DC,678972,1803,104800,5.20,34.9,11130.69
